OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
OTU97_5140;size=7	Fungi	Fungi	Fungi	Fungi																								
OTU97_5416;size=6	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Dothideomycetes		Dothideomycetes		Capnodiales		Capnodiales												
OTU97_3177;size=35	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Xylariales	Xylariales		Xylariales	Diatrypaceae	Diatrypaceae		Diatrypaceae								
OTU97_4849;size=14	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_2994;size=27	Fungi	Fungi	Fungi	Fungi																								
OTU97_56;size=12577	Fungi	Fungi	Fungi	Fungi																								
OTU97_1372;size=559	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Thelephorales	Thelephorales		Thelephorales	Thelephoraceae	Thelephoraceae		Thelephoraceae								
OTU97_5732;size=9	Fungi	Fungi	Fungi	Fungi																								
OTU97_5502;size=5	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_2251;size=58	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_5808;size=5	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Xylariales	Xylariales		Xylariales												
